future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	145382.490886895	9398.74150032833	16022.3286317563	1655.92763923308	15666.1588025891	0	5490.32181465166	248919.889184611	0	122487.15345964	26977.2274032691
Nov-2021	88811.7432829774	6893.17861386453	6326.34854981119	1292.74590036793	10301.7626671141	0	3476.94943696237	47988.8030320163	0	84283.5478890637	21145.0003805971
Dec-2021	113099.979273097	9430.77706896604	31221.5076618541	2291.13985675826	24809.063538458	0	6298.40387429966	69125.3434596799	0	117641.843803562	30728.0828914323
Jan-2021	456040.557927235	41673.4483102364	294354.599834985	38188.1325071395	155803.310590932	0	68642.7827584805	0	0	241536.801610527	82611.7792086422
Feb-2021	259734.637509178	28281.3815064283	165018.718733444	28319.2365227434	124428.249845312	0	40909.9792008352	0	0	167440.096725377	80554.7079084977
Mar-2021	116530.312804425	13821.8979248272	47584.4098002004	15350.8928319502	67493.1597033302	0	23496.3184676957	0	0	71145.4670320693	44990.047568366
Apr-2021	731615.467593471	9940.83686151943	25503.0829435745	5512.13759099508	29106.5399136999	0	14758.1054579982	38912.5157088492	0	59514.8740959738	26601.5438477389
May-2021	2721903.91062077	30107.0663842297	61214.9218424562	7573.19214667255	31181.0557575008	85308.2538276099	58128.9585242739	1637229.11386322	0	440089.843947049	77004.5920896339
Jun-2021	5971691.44950548	222742.292455957	265405.948110136	44848.3269557204	34298.3167756138	193458.098080888	19245.7125154912	2211246.86301058	0	804299.772577309	149917.424459773
Jul-2021	3130595.20078652	247745.05085664	171824.706931337	61809.8893881826	29950.2556234531	224409.761848341	12065.2884293944	1626970.77340047	0	442659.474930308	83862.2821076213
Aug-2021	673792.912757827	49795.4477987607	28844.8752557985	4687.84325214239	24151.5906546502	417515.682080073	6991.30812711291	2769438.34089801	0	201212.506597775	63350.8563786774
Sep-2021	419297.71340353	29687.3533529749	11223.9401131389	2712.66244401307	18273.8768763238	355754.85039836	4027.55073369195	521279.676625375	0	129519.505105913	49065.0563440345
Oct-2022	270141.377053322	31179.6085728602	9165.8131014038	2781.15031284523	22903.0539463133	2406.89605319015	5790.08561345915	202179.268467972	0	154080.37326328	52906.084781557
Nov-2022	174817.486772391	19932.0366740412	13733.362939667	2009.66621742292	20005.8196955755	19558.9502403992	5571.06482798766	0	0	126307.93357876	37206.2825315752
Dec-2022	756671.11916933	61853.5990629201	262049.477224579	25212.9740336683	141102.26672769	0	98731.2860767331	0	0	503911.562056647	123323.608740284
Jan-2022	401757.543367726	48482.5216018416	97086.3163007136	26646.2514759342	99025.2133684677	33542.3151104841	37042.817535297	0	0	269440.370959883	98852.53750693
Feb-2022	1588880.16939935	86177.6860377471	583391.842556329	143871.949142	701771.075459802	29368.7150402238	336061.577174234	0	0	1081057.1770843	437449.347672249
Mar-2022	1799964.53639626	160249.244683781	225916.216958259	113973.739255836	341224.80282852	5276.82946005003	84897.5561052007	0	0	1348926.3027083	496821.656374294
Apr-2022	2109002.29121948	114755.232173817	98096.8256555913	34123.9476429975	57215.01023128	0	22203.3439454854	607504.428128672	0	821504.400838017	227529.166900501
May-2022	5795160.17843229	210263.144978979	142848.577439774	55921.1029290447	45558.6737628489	48003.4751710234	21595.9783823156	1378164.28716809	0	1628052.50489232	444267.536059765
Jun-2022	6125400.36776307	242206.762502799	53453.0973195072	40559.2947803761	37843.543637025	171933.64095925	15303.248000641	3082069.71201027	0	851600.534360858	141746.343868143
Jul-2022	2123676.57605247	158581.17835422	27467.4753439045	8941.24167424503	33314.6620746358	209958.428763886	12007.1989533204	1846186.18395831	0	470580.012302709	85055.8352490617
Aug-2022	661537.123703417	51068.578640648	13496.005045184	3778.24725525619	26993.4333496772	198035.42627586	9181.23549413487	1579393.64659514	0	237199.171301691	65299.2226992865
Sep-2022	283998.624701954	28597.3239700142	6806.62032000883	2432.27287042946	21729.3227429569	218878.82256189	6831.58573232753	943610.923933481	0	141752.5651427	49981.7795718006
Oct-2023	222726.001051867	19270.3100504354	37573.3130070044	2730.56707650675	30159.0996836553	26512.9613158993	28787.1901186124	198847.209869245	0	142124.887748197	38337.7401771223
Nov-2023	222549.857740907	20402.616337936	46105.1359483295	6396.18502875934	34395.0474390389	6213.47246006853	13959.4815140338	0	0	143130.731556847	42494.4060494052
Dec-2023	368214.55576214	35973.3633204893	91313.2335321775	19749.5631547686	74790.9905002525	10179.2905149498	30481.0371382496	0	0	229940.985115297	70688.8816801585
Jan-2023	220847.887341076	24153.0153973336	31592.7358683047	9204.75384738295	38002.3109535736	9892.77635217845	13156.2771460746	0	0	158151.940728693	53872.1551529694
Feb-2023	84996.4373871082	8640.70000897495	25849.8065167136	4328.96853784523	22618.7557918317	7060.76427791058	6826.46460203018	0	0	78266.7847396819	27451.088110763
Mar-2023	1858959.63778458	113481.816011459	676887.259615634	201090.796655552	1213586.64777807	7072.83617326949	401511.348878858	0	0	944172.722352867	792027.347067179
Apr-2023	2240002.1744294	248359.882306626	298948.451726307	185810.872705202	647554.937449031	6330.60714251512	109554.885194879	0	0	1536116.22141703	703094.681824715
May-2023	9269823.99403705	851554.839636964	964680.865537982	382247.07942984	667422.295808123	5302.73760109237	163373.75988074	1037568.99061374	0	5615640.57205129	1935302.14471402
Jun-2023	10116930.1887963	615852.834283075	529475.556924217	176112.895974797	89521.3837218769	213796.001963455	36150.4592795773	1876653.79501254	0	3596321.32379361	1030666.29634739
Jul-2023	9586842.55140379	824803.683599922	406518.267978504	158749.911110164	51155.9907644928	181027.439584685	19371.7024290745	2218638.62002625	0	2221999.34217753	296526.770601183
Aug-2023	2547033.84257426	258573.683686185	53462.0923827775	34285.1743146581	39991.5027698084	245486.246510705	14011.0190590159	2549280.25222656	0	577280.544654972	91526.7171454197
Sep-2023	572663.951760437	52579.9455520156	21192.5893000934	4586.14589824249	31628.4041692127	201949.49163222	10766.7252114264	730864.826859465	0	243397.619270296	69328.6168199481
Oct-2024	1749526.47415505	180857.106531349	167995.013611291	56967.608012184	50115.5877927119	71202.7884714248	63752.318019921	389024.322376245	0	496919.47203184	82025.4030540116
Nov-2024	499076.297085745	50490.8668039192	57146.4814188003	10910.7334249517	44994.7784378906	1635.13967047751	14267.1420316782	136479.657829189	0	301056.431260629	73463.8310947728
Dec-2024	12066572.861995	1176377.74616919	2143835.57010069	799810.049600902	1563412.28123165	1681.17188641771	566114.783653298	93487.7757707936	0	7218798.90737438	2496340.28191105
Jan-2024	4912180.18127039	520080.93879299	1171879.69375402	466275.095377756	1767711.14485708	5530.20458210651	543647.195241851	0	0	3124618.49149591	1387635.81836948
Feb-2024	10004376.9221125	940420.775384274	1379702.0296436	684078.00336721	2703473.07453633	6295.69268621128	927338.952557338	0	0	7042065.58688872	2768847.81773697
Mar-2024	4525509.8744015	368746.076216521	711209.176357621	419110.153494665	2572233.38146714	4048.10987187257	864328.469992277	0	0	2964277.01612246	1772013.13718209
Apr-2024	10005594.8169876	954271.608463925	1175689.94914233	611412.707316221	2418718.81831696	347.791424678949	616131.712799903	0	0	6833880.05942922	2990909.42553422
May-2024	4633812.08328211	420629.776943963	352641.558163836	173883.027383299	414164.097988585	9743.11587373726	94843.1182475615	156785.772680829	0	3607119.91872562	1195486.45511853
Jun-2024	10369749.6510933	817481.730367798	664280.6423304	283508.081403617	219205.536305347	105846.486328687	78502.1971516081	811836.068480939	0	5780541.1809364	1645503.09624254
Jul-2024	13511241.018851	1038204.21018678	843213.048740517	261168.443460319	61116.3249674851	251725.87352672	25582.7878965549	2676753.68043969	0	5115415.57034636	1075346.49561786
Aug-2024	7969306.81991309	833960.03244433	510427.364051087	180044.654339082	43219.981421726	258557.479916806	16755.7701170952	4738584.68193054	0	2678326.04767553	250148.670614115
Sep-2024	3216673.58393184	380143.664436963	170996.067746088	105973.454198889	34874.9987926138	204853.79454563	13372.7073029175	2190087.24713977	0	942706.569273958	81589.3431121524
Oct-2025	134967.446050045	11612.5673154895	11945.4040495952	1579.89540051602	15968.5832086815	122687.010908655	5540.81348606815	184385.103099712	0	109017.816126289	27458.825209212
Nov-2025	99903.6009703714	8482.20578318242	10489.5387440719	1409.37258168924	13381.0260371812	6543.92768618403	4965.55217617012	61803.761480627	0	91763.3770155073	22807.6845926552
