future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	131299.006976795	8488.26717919401	14470.2145765416	1495.51471659597	14148.5476096362	0	4958.46369015389	224806.536656055	0	110621.585299271	24363.8910533738
Nov-2021	103878.003506651	8062.55575843691	7399.56713548198	1512.05075148398	12049.3810717065	0	4066.78838241487	56129.7511496459	0	98581.6330085623	24732.0944560808
Dec-2021	161871.156606889	13497.53378972	44684.9025854538	3279.12932385321	35507.2727255509	0	9014.41296862123	98933.6989147307	0	168371.572163315	43978.7022943484
Jan-2021	550349.007914467	50291.4500371541	355226.655125906	46085.3765615378	188023.183295882	0	82837.9992413871	0	0	291486.221632061	99695.761570355
Feb-2021	378567.947984535	41220.6268125406	240517.777409451	41275.8011858347	181356.432345617	0	59627.0371432572	0	0	244046.979777267	117409.948730215
Mar-2021	133472.714975343	15831.4707799247	54502.7316385174	17582.7670437534	77306.024939511	0	26912.4603061182	0	0	81489.3431110609	51531.1737461637
Apr-2021	851004.962537484	11563.0435326298	29664.8322873438	6411.64197847815	33856.3234458809	0	17166.4235362868	45262.498456975	0	69226.8759257698	30942.5467726214
May-2021	3052996.51770011	33769.2923216589	68661.1097794706	8494.39583868044	34973.9218472823	95685.1565738673	65199.7696390642	1836381.7928318	0	493622.407390236	86371.4367649932
Jun-2021	6414910.38808996	239274.22537228	285104.377543412	48176.9697763823	36843.9378421176	207816.558094606	20674.1292958198	2375365.6048878	0	863994.901590542	161044.295683149
Jul-2021	3216936.17305119	254577.792617488	176563.586059439	63514.5894861087	30776.2756050384	230598.922624798	12398.0458339243	1671842.18902978	0	454867.903997742	86175.1812559006
Aug-2021	691540.173440952	51107.0270335443	29604.6302351758	4811.31794987538	24787.7276147525	428512.769625622	7175.45456958598	2842383.51923268	0	206512.31124054	65019.4761301821
Sep-2021	430255.373061881	30463.1837565288	11517.2594226748	2783.55343835741	18751.4347476128	365051.921304924	4132.80418198362	534902.468023187	0	132904.285443846	50347.2913082359
