Month	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	167145.007738987	10805.6528074711	18420.734345754	1903.80585988271	18011.2489359955	0	6312.17608531291	286181.07001976	0	140822.433898631	31015.4878733219
Nov-2021	99588.2726230154	7729.60563164914	7093.99569018001	1449.60932416246	11551.7915882055	0	3898.84688245971	53811.8251319208	0	94510.6202686133	23710.7614902576
Dec-2021	76038.5568162833	6340.43155966212	20990.6173236641	1540.36251192846	16679.4494530606	0	4234.49715840712	46473.8489775679	0	79092.1101977364	20658.8815649007
Jan-2021	233179.029922384	21308.1360453296	150507.052168077	19526.0520972853	79664.1092349645	0	35097.8815733958	0	0	123500.67578657	42240.3977040722
Feb-2021	140051.22018876	15249.5717420791	88979.5567285012	15269.9835026207	67092.8158981954	0	22059.0236247228	0	0	90285.1852174873	43435.8129617411
Mar-2021	142737.655469252	16930.4042565844	58286.0109812628	18803.2658581271	82672.1832664585	0	28780.5750239985	0	0	87145.8843371174	55108.1839120819
Apr-2021	1471629.85346248	19995.7941593727	51298.9403279654	11087.5543159081	58547.2218198087	0	29685.6334161128	78271.7456464302	0	119712.976726406	53508.4724264966
May-2021	5408415.05576515	59822.6522552931	121633.869453797	15047.9104961956	61956.665977624	169507.24916555	115502.069427179	3253169.42842975	0	874457.224079491	153007.8977423
Jun-2021	7021799.69027899	261911.013555262	312076.975174644	52734.8023570921	40329.5970912963	227477.260784938	22630.0269066423	2600089.55069235	0	945734.042310992	176280.059601243
Jul-2021	3139265.44068993	248431.185245804	172300.578557938	61981.0729922667	30033.2033968857	225031.268733487	12098.7034634302	1631476.69831778	0	443885.428334376	84094.5402113001
Aug-2021	667106.837811396	49301.3255103399	28558.6463653946	4641.32558962698	23911.933421493	413372.656695209	6921.93308735456	2741957.08967651	0	199215.866571145	62722.2232101646
Sep-2021	415134.854004256	29392.6122322999	11112.5069163833	2685.73066739913	18092.4507018324	352222.855408936	3987.56452129	516104.322856149	0	128233.613311171	48577.9300744449
Oct-2022	274529.371621449	31686.0691326841	9314.69639555199	2826.3254452112	23275.0757276715	2445.99205145094	5884.13586410192	205463.332321879	0	156583.151061739	53765.4555864838
Nov-2022	196760.030604819	22433.8435382433	15457.1316760443	2261.91323160044	22516.8875737299	22013.9284630585	6270.32745004205	0	0	142161.710109388	41876.2986744897
Dec-2022	388614.270839056	31767.026241197	134584.450146823	12948.9830807001	72467.8834819494	0	50706.8206724112	0	0	258800.976137416	63337.0470653864
Jan-2022	263674.757990299	31819.2336675662	63718.0592557773	17488.0198897343	64990.5635896666	22013.9284630585	24311.3193769167	0	0	176834.575426097	64877.2358706148
Feb-2022	1190978.03011211	64596.2689531555	437293.435221027	107842.198472591	526027.04038828	22013.9284630585	251901.913616709	0	0	810328.791307869	327899.216315019
Mar-2022	2503036.51970426	222843.119177	314159.823710806	158492.251306113	474508.317046442	7337.97615435283	118058.816753363	0	0	1875821.28969523	690881.80602412
Apr-2022	4313664.43073697	234715.5170623	200643.114215893	69795.684811141	117025.171364899	0	45413.7842428224	1242563.96213708	0	1680270.49014716	465378.571801544
