future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	0	0	0	0	0	0	0	127651.225222878	0	0	0
Nov-2021	0	0	0	0	0	0	0	130878.553723681	0	0	0
Dec-2021	0	0	0	0	0	0	0	225566.910236851	0	0	0
Jan-2021	0	0	0	0	0	33486.2918908444	0	296592.871033194	0	0	0
Feb-2021	0	0	0	0	0	1723779.10047136	0	263103.125861419	0	0	0
Mar-2021	0	0	0	0	0	1238075.37065194	0	123807.537065195	0	0	0
Apr-2021	0	0	0	0	0	364804.834770462	0	69312.9186063878	0	0	0
May-2021	0	0	0	0	0	316366.828769059	0	3692.99800119524	0	0	0
Jun-2021	0	0	0	0	0	509647.677739974	0	6240.5838090609	0	0	0
Jul-2021	0	0	0	0	0	607369.898915619	0	0	0	0	0
Aug-2021	0	0	0	0	0	424927.203063744	0	0	0	0	0
Sep-2021	0	0	0	0	0	496574.478681045	0	130937.549104952	0	0	0
Oct-2022	0	0	0	0	0	702813.647531525	0	96275.842127606	0	0	0
Nov-2022	0	0	0	0	0	632406.057772908	0	130393.001602662	0	0	0
Dec-2022	0	0	0	0	0	1476403.77978637	0	295280.755957276	0	0	0
Jan-2022	0	0	0	0	0	4848727.99541554	0	231069.281872225	0	0	0
Feb-2022	0	0	0	0	0	6585118.55013018	0	189265.052481443	0	0	0
Mar-2022	0	0	0	0	0	2181089.51015401	0	109054.475507701	0	0	0
Apr-2022	0	0	0	0	0	358762.457556302	0	29896.8714630252	0	0	0
May-2022	0	0	0	0	0	430482.777340144	0	20130.4895878485	0	0	0
Jun-2022	0	0	0	0	0	466980.259395496	0	0	0	0	0
Jul-2022	0	0	0	0	0	540582.621185177	0	0	0	0	0
Aug-2022	0	0	0	0	0	613665.33327458	0	0	0	0	0
Sep-2022	0	0	0	0	0	510717.25264441	0	4863.97383470867	0	0	0
Oct-2023	0	0	0	0	0	562453.536487293	0	68176.186240884	0	0	0
Nov-2023	0	0	0	0	0	615133.773546785	0	124269.449201371	0	0	0
Dec-2023	0	0	0	0	0	1041680.7293632	0	210372.00397563	0	0	0
Jan-2023	0	0	0	0	0	1012360.7800396	0	204450.711278355	0	0	0
Feb-2023	0	0	0	0	0	651943.90166041	0	131800.933187664	0	0	0
Mar-2023	0	0	0	0	0	723786.901731245	0	146171.947580903	0	0	0
Apr-2023	0	0	0	0	0	626730.107108996	0	126612.142850303	0	0	0
May-2023	0	0	0	0	0	542646.814511786	0	67168.0096138367	0	0	0
Jun-2023	0	0	0	0	0	391959.336933	0	13857.1482754091	0	0	0
Jul-2023	0	0	0	0	0	471513.331011271	0	0	0	0	0
Aug-2023	0	0	0	0	0	571227.612072987	0	7081.33403396266	0	0	0
Sep-2023	0	0	0	0	0	521702.853383237	0	72124.8184400787	0	0	0
Oct-2024	0	0	0	0	0	908715.92524448	0	142004.75706404	0	0	0
Nov-2024	0	0	0	0	0	866624.025353077	0	114459.776933426	0	0	0
Dec-2024	0	0	0	0	0	1563489.85436847	0	181274.186013737	0	0	0
Jan-2024	0	0	0	0	0	5558479.31230074	0	206239.208475552	0	0	0
Feb-2024	0	0	0	0	0	1264716.11658774	0	156172.221673458	0	0	0
Mar-2024	0	0	0	0	0	7504506.66247355	0	3770771.28065068	0	0	0
Apr-2024	0	0	0	0	0	9438321.52640101	0	11851783.2309913	0	0	0
May-2024	0	0	0	0	0	6226380.44982326	0	4183074.95780753	0	0	0
Jun-2024	0	0	0	0	0	3201744.65523276	0	1426209.50245172	0	0	0
Jul-2024	0	0	0	0	0	1120718.84074261	0	68155.5351898403	0	0	0
Aug-2024	0	0	0	0	0	1289675.42176817	0	74208.7017629944	0	0	0
Sep-2024	0	0	0	0	0	1369928.65034612	0	92927.3263910934	0	0	0
Oct-2025	0	0	0	0	0	360260.124517899	0	126232.878275957	0	0	0
Nov-2025	0	0	0	0	0	349009.476596482	0	130878.553723681	0	0	0
Dec-2025	0	0	0	0	0	526322.790552651	0	225566.910236851	0	0	0
Jan-2025	0	0	0	0	0	636239.545926043	0	296592.871033194	0	0	0
Feb-2025	0	0	0	0	0	955638.93991044	0	257054.778140467	0	0	0
Mar-2025	0	0	0	0	0	595740.568136283	0	147104.654254882	0	0	0
Apr-2025	0	0	0	0	0	220504.255683479	0	70528.9347222894	0	0	0
May-2025	0	0	0	0	0	285181.512314521	0	28312.9846758303	0	0	0
Jun-2025	0	0	0	0	0	542930.791388298	0	58938.8470855753	0	0	0
Jul-2025	0	0	0	0	0	607369.898915619	0	115457.196313277	0	0	0
Aug-2025	0	0	0	0	0	555040.571443727	0	102114.289108342	0	0	0
Sep-2025	0	0	0	0	0	527867.72941053	0	139996.12168454	0	0	0
Oct-2026	0	0	0	0	0	360260.124517899	0	126232.878275957	0	0	0
Nov-2026	0	0	0	0	0	349009.476596482	0	130878.553723681	0	0	0
Dec-2026	0	0	0	0	0	526322.790552651	0	225566.910236851	0	0	0
Jan-2026	0	0	0	0	0	636239.545926043	0	296592.871033194	0	0	0
Feb-2026	0	0	0	0	0	955638.93991044	0	257054.778140467	0	0	0
Mar-2026	0	0	0	0	0	595740.568136283	0	147104.654254882	0	0	0
Apr-2026	0	0	0	0	0	220504.255683479	0	70528.9347222894	0	0	0
May-2026	0	0	0	0	0	285181.512314521	0	28312.9846758303	0	0	0
Jun-2026	0	0	0	0	0	542930.791388298	0	58938.8470855753	0	0	0
Jul-2026	0	0	0	0	0	607369.898915619	0	115457.196313277	0	0	0
Aug-2026	0	0	0	0	0	555040.571443727	0	102114.289108342	0	0	0
Sep-2026	0	0	0	0	0	527867.72941053	0	139996.12168454	0	0	0
Oct-2027	0	0	0	0	0	726434.172834686	0	82329.2062545978	0	0	0
Nov-2027	0	0	0	0	0	644493.140210851	0	128898.628042171	0	0	0
Dec-2027	0	0	0	0	0	1092646.60174598	0	218529.320349197	0	0	0
Jan-2027	0	0	0	0	0	829376.389208697	0	165875.27784174	0	0	0
Feb-2027	0	0	0	0	0	670959.417063181	0	134191.883412636	0	0	0
Mar-2027	0	0	0	0	0	723888.672983518	0	144777.734596704	0	0	0
Apr-2027	0	0	0	0	0	614659.728605155	0	120883.079959014	0	0	0
May-2027	0	0	0	0	0	527568.416022802	0	72768.0573824554	0	0	0
Jun-2027	0	0	0	0	0	453088.170881889	0	0	0	0	0
Jul-2027	0	0	0	0	0	363811.554778018	0	0	0	0	0
Aug-2027	0	0	0	0	0	526276.060898563	0	0	0	0	0
Sep-2027	0	0	0	0	0	718579.519447435	0	21775.1369529526	0	0	0
Oct-2028	0	0	0	0	0	360260.124517899	0	126232.878275957	0	0	0
Nov-2028	0	0	0	0	0	349009.476596482	0	130878.553723681	0	0	0
Dec-2028	0	0	0	0	0	526322.790552651	0	225566.910236851	0	0	0
Jan-2028	0	0	0	0	0	636239.545926043	0	296592.871033194	0	0	0
Feb-2028	0	0	0	0	0	955638.93991044	0	257054.778140467	0	0	0
Mar-2028	0	0	0	0	0	595740.568136283	0	147104.654254882	0	0	0
Apr-2028	0	0	0	0	0	220504.255683479	0	70528.9347222894	0	0	0
May-2028	0	0	0	0	0	285181.512314521	0	28312.9846758303	0	0	0
Jun-2028	0	0	0	0	0	542930.791388298	0	58938.8470855753	0	0	0
Jul-2028	0	0	0	0	0	607369.898915619	0	115457.196313277	0	0	0
Aug-2028	0	0	0	0	0	555040.571443727	0	102114.289108342	0	0	0
Sep-2028	0	0	0	0	0	527867.72941053	0	139996.12168454	0	0	0
Oct-2029	0	0	0	0	0	908715.92524448	0	142004.75706404	0	0	0
Nov-2029	0	0	0	0	0	866624.025353077	0	114459.776933426	0	0	0
Dec-2029	0	0	0	0	0	1563489.85436847	0	181274.186013737	0	0	0
Jan-2029	0	0	0	0	0	5558479.31230074	0	206239.208475552	0	0	0
Feb-2029	0	0	0	0	0	1264716.11658774	0	156172.221673458	0	0	0
Mar-2029	0	0	0	0	0	7504506.66247355	0	3770771.28065068	0	0	0
Apr-2029	0	0	0	0	0	9438321.52640101	0	11851783.2309913	0	0	0
May-2029	0	0	0	0	0	6226380.44982326	0	4183074.95780753	0	0	0
Jun-2029	0	0	0	0	0	3201744.65523276	0	1426209.50245172	0	0	0
Jul-2029	0	0	0	0	0	1120718.84074261	0	68155.5351898403	0	0	0
Aug-2029	0	0	0	0	0	1289675.42176817	0	74208.7017629944	0	0	0
Sep-2029	0	0	0	0	0	1369928.65034612	0	92927.3263910934	0	0	0
Oct-2030	0	0	0	0	0	908715.92524448	0	142004.75706404	0	0	0
Nov-2030	0	0	0	0	0	866624.025353077	0	114459.776933426	0	0	0
Dec-2030	0	0	0	0	0	1563489.85436847	0	181274.186013737	0	0	0
Jan-2030	0	0	0	0	0	5558479.31230074	0	206239.208475552	0	0	0
Feb-2030	0	0	0	0	0	1264716.11658774	0	156172.221673458	0	0	0
Mar-2030	0	0	0	0	0	7504506.66247355	0	3770771.28065068	0	0	0
Apr-2030	0	0	0	0	0	9438321.52640101	0	11851783.2309913	0	0	0
May-2030	0	0	0	0	0	6226380.44982326	0	4183074.95780753	0	0	0
Jun-2030	0	0	0	0	0	3201744.65523276	0	1426209.50245172	0	0	0
Jul-2030	0	0	0	0	0	1120718.84074261	0	68155.5351898403	0	0	0
Aug-2030	0	0	0	0	0	1289675.42176817	0	74208.7017629944	0	0	0
Sep-2030	0	0	0	0	0	1369928.65034612	0	92927.3263910934	0	0	0
Oct-2031	0	0	0	0	0	858463.269486638	0	107890.532845139	0	0	0
Nov-2031	0	0	0	0	0	914654.269431764	0	130664.895633109	0	0	0
Dec-2031	0	0	0	0	0	1031860.61476872	0	157598.197910692	0	0	0
Jan-2031	0	0	0	0	0	1030268.84809583	0	206053.769619166	0	0	0
Feb-2031	0	0	0	0	0	952630.612702988	0	190526.122540598	0	0	0
Mar-2031	0	0	0	0	0	1783551.35994103	0	157074.125449353	0	0	0
Apr-2031	0	0	0	0	0	541625.527585035	0	45366.9245327636	0	0	0
May-2031	0	0	0	0	0	589447.05275756	0	0	0	0	0
Jun-2031	0	0	0	0	0	752195.149904262	0	0	0	0	0
Jul-2031	0	0	0	0	0	844124.494063585	0	0	0	0	0
Aug-2031	0	0	0	0	0	861559.213872549	0	0	0	0	0
Sep-2031	0	0	0	0	0	1030147.0655026	0	0	0	0	0
Oct-2032	0	0	0	0	0	1622332.44453145	0	47575.7315111865	0	0	0
Nov-2032	0	0	0	0	0	1708772.92319	0	69274.5779671623	0	0	0
Dec-2032	0	0	0	0	0	1919864.40332638	0	172259.903048099	0	0	0
Jan-2032	0	0	0	0	0	8016809.09218309	0	186437.420748445	0	0	0
Feb-2032	0	0	0	0	0	2051745.90749223	0	178412.68760802	0	0	0
