future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	0	0	0	0	0	0	0	115285.403413362	0	0	0
Nov-2021	0	0	0	0	0	0	0	153081.139499035	0	0	0
Dec-2021	0	0	0	0	0	0	0	322836.280669122	0	0	0
Jan-2021	0	0	0	0	0	40411.2029084067	0	357927.797188746	0	0	0
Feb-2021	0	0	0	0	0	2512439.32308032	0	383477.580891208	0	0	0
Mar-2021	0	0	0	0	0	1418079.78617855	0	141807.978617856	0	0	0
Apr-2021	0	0	0	0	0	424335.92303414	0	80623.8253764868	0	0	0
May-2021	0	0	0	0	0	354849.714855468	0	4142.21457029729	0	0	0
Jun-2021	0	0	0	0	0	547473.728313746	0	6703.75993853566	0	0	0
Jul-2021	0	0	0	0	0	624120.997104071	0	0	0	0	0
Aug-2021	0	0	0	0	0	436119.505181107	0	0	0	0	0
Sep-2021	0	0	0	0	0	509551.64015479	0	134359.387702507	0	0	0
Oct-2022	0	0	0	0	0	736400.191053161	0	100876.738500433	0	0	0
Nov-2022	0	0	0	0	0	1149358.13944793	0	236981.059679986	0	0	0
Dec-2022	0	0	0	0	0	2257401.71022254	0	451480.34204451	0	0	0
Jan-2022	0	0	0	0	0	5678366.2641982	0	270606.232421437	0	0	0
Feb-2022	0	0	0	0	0	10917777.3644653	0	313791.420782452	0	0	0
Mar-2022	0	0	0	0	0	2801641.73908229	0	140082.086954115	0	0	0
Apr-2022	0	0	0	0	0	440167.48257536	0	36680.6235479466	0	0	0
May-2022	0	0	0	0	0	498947.119437407	0	23332.059542037	0	0	0
Jun-2022	0	0	0	0	0	519743.034296953	0	0	0	0	0
Jul-2022	0	0	0	0	0	556036.557231714	0	0	0	0	0
Aug-2022	0	0	0	0	0	626155.349330098	0	0	0	0	0
Sep-2022	0	0	0	0	0	524527.664689274	0	4995.50156846928	0	0	0
Oct-2023	0	0	0	0	0	517409.903452072	0	62716.3519335845	0	0	0
Nov-2023	0	0	0	0	0	788095.911231618	0	159211.295198307	0	0	0
Dec-2023	0	0	0	0	0	1442307.59482769	0	291280.361170414	0	0	0
Jan-2023	0	0	0	0	0	1175107.53192981	0	237318.133484196	0	0	0
Feb-2023	0	0	0	0	0	1251160.72460363	0	252942.240353082	0	0	0
Mar-2023	0	0	0	0	0	1030503.75428209	0	208114.764708435	0	0	0
Apr-2023	0	0	0	0	0	758058.730265396	0	153143.177831393	0	0	0
May-2023	0	0	0	0	0	807835.145135988	0	99992.6238279073	0	0	0
Jun-2023	0	0	0	0	0	447977.449478297	0	15837.5865977176	0	0	0
Jul-2023	0	0	0	0	0	515834.856482597	0	0	0	0	0
Aug-2023	0	0	0	0	0	587586.365101303	0	7284.12849299136	0	0	0
Sep-2023	0	0	0	0	0	532294.203820299	0	73589.0604359861	0	0	0
Oct-2024	0	0	0	0	0	902960.812444285	0	141105.407363694	0	0	0
Nov-2024	0	0	0	0	0	1576838.424449	0	208261.678700812	0	0	0
Dec-2024	0	0	0	0	0	2388575.94403494	0	276936.341337385	0	0	0
Jan-2024	0	0	0	0	0	6043753.82062128	0	224244.606151119	0	0	0
Feb-2024	0	0	0	0	0	1669776.63800881	0	206190.720459743	0	0	0
Mar-2024	0	0	0	0	0	8208219.95889611	0	4124364.39573595	0	0	0
Apr-2024	0	0	0	0	0	11439559.8672264	0	14364755.7910663	0	0	0
May-2024	0	0	0	0	0	7222471.44590139	0	4852279.69641457	0	0	0
Jun-2024	0	0	0	0	0	3466865.91055921	0	1544307.13182718	0	0	0
Jul-2024	0	0	0	0	0	1157668.6769756	0	70402.6071333864	0	0	0
Aug-2024	0	0	0	0	0	1303439.14744098	0	75000.6748411514	0	0	0
Sep-2024	0	0	0	0	0	1383555.9517081	0	93851.7166366547	0	0	0
Oct-2025	0	0	0	0	0	325361.027411043	0	114004.454486547	0	0	0
Nov-2025	0	0	0	0	0	408216.371997425	0	153081.139499035	0	0	0
