Month	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	0	0	0	0	0	0	0	146759.523087057	0	0	0
Nov-2021	0	0	0	0	0	0	0	146759.523087057	0	0	0
Dec-2021	0	0	0	0	0	0	0	151651.507189959	0	0	0
Jan-2021	0	0	0	0	0	17121.9443601566	0	151651.507189959	0	0	0
Feb-2021	0	0	0	0	0	929476.979551359	0	141867.538984155	0	0	0
Mar-2021	0	0	0	0	0	1516515.07189958	0	151651.507189959	0	0	0
Apr-2021	0	0	0	0	0	733797.615435283	0	139421.546932704	0	0	0
May-2021	0	0	0	0	0	628619.957222892	0	7337.97615435283	0	0	0
Jun-2021	0	0	0	0	0	599268.052605481	0	7337.97615435283	0	0	0
Jul-2021	0	0	0	0	0	609052.020811285	0	0	0	0	0
Aug-2021	0	0	0	0	0	420710.632849562	0	0	0	0	0
Sep-2021	0	0	0	0	0	491644.40234164	0	129637.5787269	0	0	0
Oct-2022	0	0	0	0	0	714229.679023676	0	97839.6820580377	0	0	0
Nov-2022	0	0	0	0	0	711783.686972225	0	146759.523087057	0	0	0
Dec-2022	0	0	0	0	0	758257.535949792	0	151651.507189959	0	0	0
Jan-2022	0	0	0	0	0	3182235.65893768	0	151651.507189959	0	0	0
Feb-2022	0	0	0	0	0	4936011.959828	0	141867.538984155	0	0	0
Mar-2022	0	0	0	0	0	3033030.14379917	0	151651.507189959	0	0	0
Apr-2022	0	0	0	0	0	733797.615435283	0	61149.8012862736	0	0	0
May-2022	0	0	0	0	0	679985.790303362	0	31797.8966688623	0	0	0
Jun-2022	0	0	0	0	0	538118.251319208	0	0	0	0	0
Jul-2022	0	0	0	0	0	547902.219525011	0	0	0	0	0
Aug-2022	0	0	0	0	0	613944.004914187	0	0	0	0	0
Sep-2022	0	0	0	0	0	513658.330804698	0	4891.98410290189	0	0	0
Oct-2023	0	0	0	0	0	726459.63928093	0	88055.713852234	0	0	0
Nov-2023	0	0	0	0	0	726459.63928093	0	146759.523087057	0	0	0
Dec-2023	0	0	0	0	0	750919.55979544	0	151651.507189959	0	0	0
Jan-2023	0	0	0	0	0	750919.55979544	0	151651.507189959	0	0	0
Feb-2023	0	0	0	0	0	677539.798251911	0	136975.554881253	0	0	0
Mar-2023	0	0	0	0	0	750919.55979544	0	151651.507189959	0	0	0
Apr-2023	0	0	0	0	0	726459.63928093	0	146759.523087057	0	0	0
May-2023	0	0	0	0	0	750919.55979544	0	92947.6979551359	0	0	0
Jun-2023	0	0	0	0	0	484306.426187287	0	17121.9443601566	0	0	0
Jul-2023	0	0	0	0	0	547902.219525011	0	0	0	0	0
Aug-2023	0	0	0	0	0	591930.076451128	0	7337.97615435283	0	0	0
Sep-2023	0	0	0	0	0	530780.275164855	0	73379.7615435283	0	0	0
Oct-2024	0	0	0	0	0	970447.346413161	0	151651.507189959	0	0	0
Nov-2024	0	0	0	0	0	972281.84045175	0	128414.582701175	0	0	0
Dec-2024	0	0	0	0	0	1307994.24951339	0	151651.507189959	0	0	0
Jan-2024	0	0	0	0	0	4087252.71797453	0	151651.507189959	0	0	0
Feb-2024	0	0	0	0	0	1109257.395333	0	136975.554881253	0	0	0
Mar-2024	0	0	0	0	0	5327982.18607302	0	2677138.30031307	0	0	0
Apr-2024	0	0	0	0	0	10952540.9083845	0	13753201.8072958	0	0	0
May-2024	0	0	0	0	0	14959075.8886611	0	10049969.8413991	0	0	0
Jun-2024	0	0	0	0	0	4808820.37315255	0	2142077.53905816	0	0	0
Jul-2024	0	0	0	0	0	1246844.44822712	0	75825.7535949795	0	0	0
Aug-2024	0	0	0	0	0	1317778.2177192	0	75825.7535949795	0	0	0
Sep-2024	0	0	0	0	0	1397272.95939135	0	94782.1919937242	0	0	0
Oct-2025	0	0	0	0	0	414187.987379026	0	145128.861719423	0	0	0
Nov-2025	0	0	0	0	0	391358.728232151	0	146759.523087057	0	0	0
Dec-2025	0	0	0	0	0	353853.51677657	0	151651.507189959	0	0	0
Jan-2025	0	0	0	0	0	325316.942842976	0	151651.507189959	0	0	0
Feb-2025	0	0	0	0	0	515288.992172332	0	138606.216248887	0	0	0
Mar-2025	0	0	0	0	0	729720.962016196	0	180188.081123553	0	0	0
Apr-2025	0	0	0	0	0	443539.891996438	0	141867.538984155	0	0	0
May-2025	0	0	0	0	0	566654.825252802	0	56257.8171833719	0	0	0
Jun-2025	0	0	0	0	0	638403.925428696	0	69303.1081244435	0	0	0
Jul-2025	0	0	0	0	0	609052.020811285	0	115776.957102011	0	0	0
Aug-2025	0	0	0	0	0	549532.880892645	0	101101.004793306	0	0	0
Sep-2025	0	0	0	0	0	522626.968326685	0	138606.216248887	0	0	0
Oct-2026	0	0	0	0	0	414187.987379026	0	145128.861719423	0	0	0
Nov-2026	0	0	0	0	0	391358.728232151	0	146759.523087057	0	0	0
Dec-2026	0	0	0	0	0	353853.51677657	0	151651.507189959	0	0	0
Jan-2026	0	0	0	0	0	325316.942842976	0	151651.507189959	0	0	0
Feb-2026	0	0	0	0	0	515288.992172332	0	138606.216248887	0	0	0
