#	MODFLOW	Streamflow	Routing	(SFR)	Package													
#	Data	set	created	10/3/2021	using	MODFLOW	Pre-Processing.R											
#																		
BEGIN	OPTION																	
	DBFILE	SFR_out.dat																
END																		
-2363	51	0	0	86400	1.00E-04	50	600	1	!	NSTRM	NSS	NSFRPAR	NPARSEG	CONST	DLEAK	ISTCB1	ISTCB2	ISFROPT
1	188	23	1	1	49.96	1540.499878	1.00E-01	1	1									
1	185	10	2	1	97.98	1620.61853	7.91E-02	1	1									
1	185	11	2	2	155.35	1617.152832	7.91E-02	1	1									
1	185	12	2	3	168.5	1608.327759	9.15E-02	1	1									
1	185	13	2	4	151.39	1601.731689	8.13E-02	1	1									
1	185	14	2	5	150.19	1596.025635	8.29E-02	1	1									
1	185	15	2	6	155.53	1589.278687	8.02E-02	1	1									
1	185	16	2	7	163.82	1583.547363	6.81E-02	1	1									
1	184	17	2	8	160.53	1578.124023	6.58E-02	1	1									
1	185	18	2	9	188.09	1572.991943	4.18E-02	1	1									
1	185	19	2	10	79.73	1570.264526	5.75E-02	1	1									
1	186	19	2	11	111.97	1568.404663	3.63E-02	1	1									
1	186	20	2	12	130.22	1566.197632	3.66E-02	1	1									
1	187	20	2	13	165.41	1563.632202	3.32E-02	1	1									
1	188	20	2	14	155.1	1560.699341	4.76E-02	1	1									
1	189	20	2	15	155.9	1556.24353	4.29E-02	1	1									
1	189	21	2	16	38.7	1554.014648	9.88E-02	1	1									
1	190	21	2	17	152.08	1552.420898	1.05E-02	1	1									
1	190	22	2	18	90.35	1552.420898	6.08E-02	1	1									
1	189	22	2	19	142.37	1546.923096	6.73E-02	1	1									
1	189	23	2	20	44.05	1542.838501	1.10E-01	1	1									
1	188	23	2	21	61.68	1542.08606	5.30E-02	1	1									
1	188	23	3	1	117.91	1539.567627	3.90E-02	1	1									
1	187	23	3	2	155.01	1537.485718	2.16E-02	1	1									
1	186	23	3	3	110.46	1536.226563	2.67E-02	1	1									
1	186	24	3	4	61.07	1534.540161	6.42E-02	1	1									
1	185	24	4	1	168.06	1532.307739	2.70E-02	1	0.1									
1	184	24	4	2	124.93	1529.994385	2.67E-02	1	0.1									
1	184	25	4	3	39.86	1528.970947	6.87E-02	1	0.1									
1	183	25	4	4	179.46	1527.257202	1.81E-02	1	0.1									
1	182	25	4	5	168.16	1525.722656	3.23E-02	1	0.1									
1	181	26	4	6	182.96	1521.833618	2.42E-02	1	0.1									
1	180	26	4	7	72.77	1521.293091	2.67E-02	1	0.1									
1	180	27	4	8	114.86	1519.890015	1.82E-02	1	0.1									
1	179	27	4	9	156.56	1519.202271	1.25E-02	1	0.1									
1	178	27	4	10	134.96	1517.925659	2.03E-02	1	0.1									
1	178	28	4	11	111.57	1516.458618	3.08E-02	1	0.1									
1	177	28	4	12	141.01	1514.483887	1.50E-02	1	0.1									
1	177	29	4	13	201.66	1514.344482	8.96E-03	1	0.1									
1	176	30	4	14	198.31	1512.676147	1.80E-02	1	0.1									
1	176	31	4	15	77.23	1510.779785	3.39E-02	1	0.1									
1	175	31	4	16	141.98	1510.055054	1.04E-02	1	0.1									
1	175	32	4	17	164.84	1509.296387	1.29E-02	1	0.1									
1	174	33	4	18	215.72	1507.921753	1.14E-02	1	0.1									
1	173	34	4	19	156.2	1506.846313	1.22E-02	1	0.1									
1	173	35	4	20	174.34	1506.022583	9.70E-03	1	0.1									
1	173	36	4	21	121.88	1505.154419	8.72E-03	1	0.1									
1	172	36	4	22	24.38	1504.960083	3.46E-02	1	0.1									
1	173	36	4	23	16.76	1504.309814	4.57E-02	1	0.1									
1	173	37	4	24	66.37	1504.193481	1.75E-03	1	0.1									
1	172	37	4	25	145.74	1504.193481	8.53E-03	1	0.1									
1	172	38	4	26	97.31	1502.950684	1.63E-02	1	0.1									
1	171	38	4	27	167.73	1502.610229	2.90E-03	1	0.1									
1	170	38	4	28	84.88	1502.464111	1.72E-03	1	0.1									
1	170	39	4	29	40.78	1502.464111	1.00E-05	1	0.1									
1	170	39	4	30	75.17	1502.464111	3.65E-03	1	0.1									
1	169	39	4	31	185.89	1502.189697	9.72E-03	1	0.1									
1	169	40	4	32	47.05	1500.657837	3.26E-02	1	0.1									
1	168	40	4	33	215.55	1500.657837	1.00E-05	1	0.1									
1	167	40	4	34	136.15	1500.657837	1.00E-05	1	0.1									
1	167	41	4	35	34.42	1500.657837	1.00E-03	1	0.1									
1	166	41	4	36	170.21	1500.623291	2.26E-03	1	0.1									
1	165	41	4	37	154.04	1500.273804	8.29E-03	1	0.1									
1	164	41	4	38	157.65	1499.345703	5.89E-03	1	0.1									
1	164	42	4	39	28.67	1499.345703	9.67E-04	1	0.1									
1	163	42	4	40	189.97	1499.317993	1.46E-04	1	0.1									
1	162	42	4	41	25.83	1499.317993	3.19E-03	1	0.1									
1	162	43	4	42	146.42	1499.235718	5.62E-04	1	0.1									
1	161	43	4	43	152.22	1499.235718	3.72E-03	1	0.1									
1	160	43	4	44	85.25	1498.668823	7.79E-03	1	0.1									
1	160	42	4	45	66.96	1498.571289	1.51E-03	1	0.1									
1	159	42	4	46	152.45	1498.567505	2.50E-03	1	0.1									
1	158	42	4	47	152.47	1498.190063	5.89E-03	1	0.1									
1	157	42	4	48	152.47	1497.669678	5.25E-03	1	0.1									
1	156	42	4	49	152.76	1497.389771	1.83E-03	1	0.1									
1	155	42	4	50	133.19	1497.389771	1.00E-05	1	0.1									
1	155	41	4	51	20.2	1497.389771	2.13E-02	1	0.1									
1	154	41	4	52	153.39	1496.959351	4.93E-03	1	0.1									
1	153	41	4	53	160.5	1496.633179	2.03E-03	1	0.1									
1	152	42	4	54	179.93	1496.633179	1.00E-05	1	0.1									
1	151	42	4	55	84.16	1496.633179	1.00E-05	1	0.1									
1	151	43	4	56	95.2	1496.633179	1.60E-03	1	0.1									
1	150	43	4	57	115.46	1496.480957	1.32E-03	1	0.1									
1	150	42	4	58	87.5	1496.480957	1.00E-05	1	0.1									
1	149	42	4	59	157.22	1496.480957	5.14E-04	1	0.1									
1	148	43	4	60	179.89	1496.400146	4.49E-04	1	0.1									
1	147	43	4	61	86.34	1496.400146	1.00E-05	1	0.1									
1	147	44	4	62	93.89	1496.400146	1.00E-05	1	0.1									
1	146	44	4	63	180.69	1496.400146	1.07E-04	1	0.1									
1	145	44	4	64	159.49	1496.380859	1.21E-04	1	0.1									
1	144	44	4	65	17.05	1496.380859	1.21E-04	1	0.1									
1	185	24	5	1	25.7	1534.151978	1.62E-02	1	0.1									
1	185	23	5	2	151.74	1533.571167	1.62E-02	1	0.1									
1	184	23	5	3	121.28	1531.689697	2.65E-02	1	0.1									
1	184	24	5	4	77.39	1530.362549	3.61E-02	1	0.1									
1	183	24	5	5	182.44	1528.897705	2.50E-02	1	0.1									
1	182	24	5	6	159.03	1525.793701	2.73E-02	1	0.1									
1	181	24	5	7	164.01	1524.557129	1.28E-02	1	0.1									
1	180	24	5	8	165.58	1523.697876	2.44E-02	1	0.1									
1	179	24	5	9	19.16	1520.519409	1.66E-01	1	0.1									
1	179	25	5	10	175.77	1520.519409	3.49E-03	1	0.1									
1	178	25	5	11	154.63	1519.90564	1.36E-02	1	0.1									
1	178	26	5	12	28.08	1518.414307	1.17E-01	1	0.1									
1	177	26	5	13	231.35	1516.608765	1.12E-02	1	0.1									
1	176	26	5	14	28.54	1515.82373	8.22E-02	1	0.1									
1	176	27	5	15	137.59	1514.262573	1.87E-02	1	0.1									
1	175	27	5	16	180.79	1513.256104	1.29E-02	1	0.1									
1	174	27	5	17	173.57	1511.927124	9.32E-03	1	0.1									
1	173	27	5	18	104.63	1511.638794	9.17E-03	1	0.1									
1	173	28	5	19	191.93	1510.96814	7.02E-03	1	0.1									
1	173	29	5	20	46.32	1510.290894	2.73E-02	1	0.1									
1	172	29	5	21	168.91	1509.70166	7.96E-03	1	0.1									
1	171	29	5	22	166.87	1508.946045	1.11E-02	1	0.1									
1	170	29	5	23	28.24	1507.853149	6.21E-02	1	0.1									
1	170	30	5	24	207.45	1507.193115	6.92E-03	1	0.1									
1	169	30	5	25	140.02	1506.41687	1.10E-02	1	0.1									
1	169	31	5	26	63.03	1505.654419	2.45E-02	1	0.1									
1	168	31	5	27	115.55	1504.874634	7.07E-03	1	0.1									
1	168	30	5	28	32.29	1504.836914	1.17E-03	1	0.1									
1	168	31	5	29	28.17	1504.836914	1.20E-02	1	0.1									
1	167	31	5	30	177.6	1504.500244	5.57E-03	1	0.1									
1	166	31	5	31	106.13	1503.847046	1.02E-02	1	0.1									
1	166	32	5	32	81.81	1503.413574	9.24E-03	1	0.1									
1	165	32	5	33	122.09	1503.091187	1.07E-02	1	0.1									
1	165	31	5	34	98.57	1502.110718	9.95E-03	1	0.1									
1	164	31	5	35	182.85	1502.110718	1.52E-03	1	0.1									
1	163	31	5	36	112.3	1501.833374	6.19E-03	1	0.1									
1	163	32	5	37	110.96	1501.415771	6.95E-03	1	0.1									
1	162	32	5	38	218.54	1501.06189	4.63E-03	1	0.1									
1	161	32	5	39	221.57	1500.40332	3.26E-03	1	0.1									
1	160	32	5	40	79.2	1500.34021	7.97E-04	1	0.1									
1	160	33	5	41	133.5	1500.34021	5.19E-03	1	0.1									
1	159	33	5	42	205.51	1499.647095	3.49E-03	1	0.1									
1	158	33	5	43	181.66	1499.622559	2.40E-03	1	0.1									
1	157	33	5	44	81.28	1499.21106	1.04E-02	1	0.1									
1	157	34	5	45	94.05	1498.774048	4.65E-03	1	0.1									
1	156	34	5	46	152.03	1498.774048	1.00E-05	1	0.1									
1	156	35	5	47	38.91	1498.774048	5.33E-03	1	0.1									
1	155	35	5	48	183.53	1498.566772	1.91E-03	1	0.1									
1	154	35	5	49	36.32	1498.423096	7.33E-03	1	0.1									
1	154	36	5	50	148.68	1498.300537	2.97E-03	1	0.1									
1	153	36	5	51	109.25	1497.981323	3.60E-03	1	0.1									
1	153	37	5	52	74.51	1497.907104	3.43E-03	1	0.1									
1	152	37	5	53	182.09	1497.725464	1.61E-03	1	0.1									
1	151	38	5	54	185.07	1497.613647	1.33E-03	1	0.1									
1	150	38	5	55	68.58	1497.479492	2.09E-03	1	0.1									
1	150	39	5	56	116.79	1497.470581	8.57E-04	1	0.1									
1	149	39	5	57	128.94	1497.379395	2.68E-03	1	0.1									
1	149	40	5	58	60.69	1497.12561	5.76E-03	1	0.1									
1	148	40	5	59	184	1497.029663	7.36E-04	1	0.1									
1	147	41	5	60	169.35	1496.990234	2.22E-03	1	0.1									
1	146	41	5	61	90.2	1496.653076	3.74E-03	1	0.1									
1	146	42	5	62	94.19	1496.653076	1.00E-05	1	0.1									
1	145	42	5	63	147.21	1496.653076	1.01E-03	1	0.1									
1	145	43	5	64	128.18	1496.504639	1.16E-03	1	0.1									
1	144	43	5	65	31.04	1496.504639	1.00E-05	1	0.1									
1	144	44	5	66	18.52	1496.504639	1.00E-05	1	0.1									
1	194	47	6	1	20.07	1564.948364	1.06E-01	1	0.1									
1	194	46	6	2	51.78	1563.116455	1.06E-01	1	0.1									
1	193	46	6	3	173.38	1556.452759	5.51E-02	1	0.1									
1	192	46	6	4	98.59	1550.555542	1.01E-01	1	0.1									
1	192	45	6	5	76.7	1546.446777	8.13E-02	1	0.1									
1	191	45	6	6	155.82	1544.321655	5.07E-02	1	0.1									
1	190	45	6	7	155.88	1538.540405	5.84E-02	1	0.1									
1	190	44	6	8	31.2	1535.221436	2.16E-01	1	0.1									
1	189	44	6	9	193.03	1531.813354	3.92E-02	1	0.1									
1	188	44	6	10	153.54	1527.649536	4.49E-02	1	0.1									
1	187	44	6	11	157.43	1524.922974	3.98E-02	1	0.1									
1	186	44	6	12	161.97	1521.384766	3.92E-02	1	0.1									
1	185	43	6	13	205.28	1518.573975	2.90E-02	1	0.1									
1	184	43	6	14	176.93	1515.433228	3.00E-02	1	0.1									
1	183	43	6	15	112.34	1513.271484	3.08E-02	1	0.1									
1	183	42	6	16	56.91	1511.978516	4.72E-02	1	0.1									
1	182	42	6	17	174.62	1510.587158	1.92E-02	1	0.1									
1	181	42	6	18	171.21	1508.624634	1.62E-02	1	0.1									
1	180	42	6	19	180.85	1507.812378	1.16E-02	1	0.1									
1	179	42	6	20	155.42	1506.531738	1.46E-02	1	0.1									
1	178	42	6	21	154.28	1505.538086	1.28E-02	1	0.1									
1	177	42	6	22	166.09	1504.558838	8.71E-03	1	0.1									
1	176	42	6	23	150.09	1504.092041	6.63E-03	1	0.1									
1	175	42	6	24	155.44	1503.564453	6.08E-03	1	0.1									
1	174	42	6	25	153.98	1503.146362	4.64E-03	1	0.1									
1	173	42	6	26	51.44	1502.849609	1.01E-02	1	0.1									
1	173	43	6	27	105.16	1502.626465	5.45E-03	1	0.1									
1	172	43	6	28	155.35	1502.276367	3.89E-03	1	0.1									
1	171	43	6	29	154.4	1502.022461	4.32E-03	1	0.1									
1	170	43	6	30	155.79	1501.609253	6.89E-03	1	0.1									
1	169	44	6	31	143.92	1500.948975	4.89E-03	1	0.1									
1	168	44	6	32	150.58	1500.905151	2.35E-03	1	0.1									
1	167	44	6	33	108.74	1500.595215	4.02E-03	1	0.1									
1	167	43	6	34	57.56	1500.468384	6.95E-03	1	0.1									
1	166	43	6	35	64.62	1500.195068	4.80E-03	1	0.1									
1	166	44	6	36	115.82	1500.158325	2.06E-03	1	0.1									
1	165	44	6	37	160.89	1499.956177	3.00E-03	1	0.1									
1	164	44	6	38	152.8	1499.675049	3.92E-03	1	0.1									
1	163	44	6	39	152.9	1499.357056	5.22E-03	1	0.1									
1	162	44	6	40	154.67	1498.877319	5.12E-03	1	0.1									
1	161	44	6	41	153.17	1498.56543	2.04E-03	1	0.1									
1	160	45	6	42	143.45	1498.56543	1.00E-05	1	0.1									
1	159	45	6	43	152.32	1498.56543	3.68E-04	1	0.1									
1	158	45	6	44	174.74	1498.509399	3.21E-04	1	0.1									
1	157	45	6	45	152.35	1498.509399	1.00E-05	1	0.1									
1	156	45	6	46	25.48	1498.509399	1.00E-05	1	0.1									
1	156	46	6	47	132.52	1498.509399	1.00E-05	1	0.1									
1	155	46	6	48	156.29	1498.509399	1.00E-05	1	0.1									
1	154	46	6	49	158.36	1498.509399	1.00E-05	1	0.1									
1	153	46	6	50	63.18	1498.509399	1.64E-03	1	0.1									
1	153	47	6	51	92.15	1498.405518	1.11E-02	1	0.1									
1	152	47	6	52	155.73	1497.4823	5.93E-03	1	0.1									
1	151	47	6	53	155.93	1497.4823	1.00E-05	1	0.1									
1	150	47	6	54	151.61	1497.4823	7.67E-04	1	0.1									
1	149	48	6	55	155.7	1497.365967	7.91E-04	1	0.1									
1	148	48	6	56	75.57	1497.359131	9.38E-04	1	0.1									
1	148	47	6	57	174.35	1497.295044	9.63E-04	1	0.1									
1	147	46	6	58	183.46	1497.191162	4.42E-03	1	0.1									
1	147	45	6	59	77.08	1496.483276	9.18E-03	1	0.1									
1	146	45	6	60	164.6	1496.483276	1.00E-05	1	0.1									
1	146	44	6	61	20.9	1496.483276	1.00E-05	1	0.1									
1	145	44	6	62	194.99	1496.483276	1.00E-05	1	0.1									
1	144	44	6	63	20.62	1496.483276	1.00E-05	1	0.1									
1	144	44	7	1	56.35	1496.713867	1.12E-03	1	0.1									
1	144	43	7	2	91.3	1496.713867	1.12E-03	1	0.1									
1	143	43	7	3	16.1	1496.612061	1.46E-02	1	0.1									
1	143	44	7	4	157.16	1496.47937	2.18E-03	1	0.1									
1	142	44	7	5	154.98	1496.27002	1.35E-03	1	0.1									
1	141	44	7	6	170.98	1496.27002	1.00E-05	1	0.1									
1	140	44	7	7	66.09	1496.27002	1.00E-05	1	0.1									
1	140	45	7	8	137.75	1496.27002	1.00E-05	1	0.1									
1	139	45	7	9	172.16	1496.27002	7.52E-03	1	0.1									
1	139	46	7	10	19.63	1494.974854	6.60E-02	1	0.1									
1	138	46	7	11	171.47	1494.974854	1.00E-05	1	0.1									
1	137	46	7	12	178.56	1494.974854	1.00E-05	1	0.1									
1	136	46	7	13	102.85	1494.974854	1.00E-05	1	0.1									
1	136	47	7	14	60.87	1494.974854	1.00E-05	1	0.1									
1	135	47	7	15	149.68	1494.974854	1.00E-05	1	0.1									
1	135	48	7	16	164.7	1494.974854	1.00E-05	1	0.1									
1	134	48	7	17	27.75	1494.974854	1.54E-03	1	0.1									
1	134	49	7	18	143.25	1494.932251	4.89E-04	1	0.1									
1	133	49	7	19	153.19	1494.904785	2.34E-04	1	0.1									
1	132	49	7	20	103.09	1494.896362	3.34E-04	1	0.1									
1	132	50	7	21	156.74	1494.870361	2.73E-03	1	0.1									
1	132	51	7	22	102.68	1494.46814	3.92E-03	1	0.1									
1	131	51	7	23	125.49	1494.46814	1.00E-05	1	0.1									
1	131	52	7	24	137.18	1494.46814	1.00E-05	1	0.1									
1	130	52	7	25	85.33	1494.46814	1.00E-05	1	0.1									
1	130	53	7	26	171.99	1494.46814	5.10E-03	1	0.1									
1	129	54	7	27	201.84	1493.59082	5.45E-03	1	0.1									
1	128	54	7	28	40.59	1493.368774	5.47E-03	1	0.1									
1	128	55	7	29	136.95	1493.368774	1.27E-03	1	0.1									
1	127	55	7	30	142.71	1493.194458	1.22E-03	1	0.1									
1	127	56	7	31	35.3	1493.194458	1.00E-05	1	0.1									
1	126	56	7	32	173.97	1493.194458	6.06E-04	1	0.1									
1	126	57	7	33	115.92	1493.088989	9.10E-04	1	0.1									
1	125	57	7	34	45.23	1493.088989	1.00E-05	1	0.1									
1	125	58	7	35	160.75	1493.088989	1.00E-05	1	0.1									
1	125	59	7	36	157	1493.088989	1.00E-05	1	0.1									
1	125	60	7	37	100.82	1493.088989	1.00E-05	1	0.1									
1	124	60	7	38	61.75	1493.088989	1.00E-05	1	0.1									
1	124	61	7	39	155.1	1493.088989	1.00E-05	1	0.1									
1	125	61	7	40	20.96	1493.088989	1.00E-05	1	0.1									
1	125	62	7	41	86.77	1493.088989	6.32E-03	1	0.1									
1	125	62	8	1	80.06	1492.540649	7.96E-03	1	0.1									
1	125	63	8	2	152.28	1492.451782	5.84E-04	1	0.1									
1	125	64	8	3	155.21	1492.451782	1.16E-03	1	0.1									
1	125	65	8	4	150.51	1492.271118	1.20E-03	1	0.1									
1	125	66	8	5	150.04	1492.271118	1.00E-05	1	0.1									
1	125	67	8	6	153.37	1492.271118	2.54E-03	1	0.1									
1	125	68	8	7	144.91	1491.88208	2.87E-03	1	0.1									
1	124	68	8	8	20.48	1491.855469	1.30E-03	1	0.1									
1	124	69	8	9	206.61	1491.855469	1.00E-05	1	0.1									
1	124	70	8	10	146.87	1491.837402	8.59E-04	1	0.1									
1	123	71	8	11	166.87	1491.72937	1.19E-03	1	0.1									
1	123	72	8	12	155.1	1491.638428	1.75E-03	1	0.1									
1	123	73	8	13	124.71	1491.458618	1.44E-03	1	0.1									
1	122	73	8	14	32.59	1491.458618	3.71E-04	1	0.1									
1	122	74	8	15	162.01	1491.446533	1.04E-03	1	0.1									
1	122	75	8	16	160.51	1491.289795	9.77E-04	1	0.1									
1	122	76	8	17	73.47	1491.289795	1.00E-05	1	0.1									
1	121	76	8	18	82.38	1491.289795	1.00E-05	1	0.1									
1	121	77	8	19	47.87	1491.289795	1.00E-05	1	0.1									
1	122	77	8	20	114.48	1491.289795	1.00E-05	1	0.1									
1	121	78	8	21	168.8	1491.289795	4.32E-04	1	0.1									
1	121	79	8	22	158.14	1491.216919	2.84E-03	1	0.1									
1	121	80	8	23	163.28	1490.840576	2.30E-03	1	0.1									
1	121	81	8	24	89.47	1490.840576	6.83E-03	1	0.1									
1	120	81	8	25	192.42	1490.229248	3.18E-03	1	0.1									
1	119	81	8	26	143.64	1490.229248	1.27E-03	1	0.1									
1	119	82	8	27	83.3	1490.046875	2.19E-03	1	0.1									
1	118	82	8	28	164.46	1490.046875	1.00E-05	1	0.1									
1	117	82	8	29	159.41	1490.046875	1.00E-05	1	0.1									
1	116	82	8	30	27.67	1490.046875	1.64E-02	1	0.1									
1	116	83	8	31	216.93	1489.59436	2.09E-03	1	0.1									
1	116	84	8	32	119.3	1489.59436	1.87E-04	1	0.1									
1	115	84	8	33	108.53	1489.572021	4.81E-04	1	0.1									
1	115	85	8	34	174.24	1489.542114	1.72E-04	1	0.1									
1	115	86	8	35	180.42	1489.542114	1.00E-05	1	0.1									
1	115	87	8	36	75.75	1489.542114	1.00E-05	1	0.1									
1	116	87	8	37	134.32	1489.542114	1.00E-05	1	0.1									
1	116	88	8	38	162.52	1489.542114	4.30E-04	1	0.1									
1	115	89	8	39	166.11	1489.47229	4.20E-04	1	0.1									
1	114	89	8	40	172.36	1489.47229	1.00E-05	1	0.1									
1	114	90	8	41	30.14	1489.47229	1.00E-05	1	0.1									
1	113	90	8	42	173.16	1489.47229	1.00E-05	1	0.1									
1	113	91	8	43	184.37	1489.47229	4.69E-03	1	0.1									
1	112	92	8	44	182.17	1488.6073	4.75E-03	1	0.1									
1	111	92	8	45	92.36	1488.6073	1.00E-05	1	0.1									
1	111	93	8	46	101.9	1488.6073	1.00E-05	1	0.1									
1	110	93	8	47	98.76	1488.6073	1.00E-05	1	0.1									
1	110	94	8	48	180.3	1488.6073	1.00E-05	1	0.1									
1	109	94	8	49	66.73	1488.6073	1.00E-05	1	0.1									
1	109	95	8	50	110.23	1488.6073	1.55E-03	1	0.1									
1	108	95	8	51	173.96	1488.436035	1.01E-03	1	0.1									
1	108	96	8	52	85.35	1488.431763	1.00E-05	1	0.1									
1	107	96	8	53	179.67	1488.431763	1.00E-05	1	0.1									
1	106	97	8	54	55.35	1488.431763	5.42E-03	1	0.1									
1	106	96	8	55	73.01	1488.131958	4.11E-03	1	0.1									
1	106	97	8	56	62.46	1488.131958	1.00E-05	1	0.1									
1	105	97	8	57	162	1488.131958	1.00E-05	1	0.1									
1	105	98	8	58	121.72	1488.131958	1.00E-05	1	0.1									
1	104	98	8	59	92.06	1488.131958	1.00E-05	1	0.1									
1	104	99	8	60	89.28	1488.131958	1.96E-03	1	0.1									
1	105	99	8	61	39.72	1487.956909	4.98E-03	1	0.1									
1	104	99	8	62	28.88	1487.934204	7.86E-04	1	0.1									
1	104	100	8	63	202.62	1487.934204	2.63E-04	1	0.1									
1	103	101	8	64	221.85	1487.880859	2.40E-04	1	0.1									
1	102	102	8	65	157.82	1487.880859	9.10E-04	1	0.1									
1	102	103	8	66	171.12	1487.737305	8.39E-04	1	0.1									
1	102	104	8	67	20.04	1487.737305	1.00E-05	1	0.1									
1	101	104	8	68	161.93	1487.737305	1.13E-03	1	0.1									
1	101	105	8	69	157.35	1487.554565	1.16E-03	1	0.1									
1	101	106	8	70	28.82	1487.554565	1.00E-05	1	0.1									
1	100	106	8	71	194.82	1487.554565	2.26E-04	1	0.1									
