Stress_Period	nDays
1	31
2	30
3	31
4	31
5	28
6	31
7	30
8	31
9	30
10	31
11	31
12	30
13	31
14	30
15	31
16	31
17	28
18	31
19	30
20	31
21	30
22	31
23	31
24	30
25	31
26	30
27	31
28	31
29	28
30	31
31	30
32	31
33	30
34	31
35	31
36	30
37	31
38	30
39	31
40	31
41	28
42	31
43	30
44	31
45	30
46	31
47	31
48	30
49	31
50	30
51	31
52	31
53	28
54	31
55	30
56	31
57	30
58	31
59	31
60	30
61	31
62	30
63	31
64	31
65	28
66	31
67	30
68	31
69	30
70	31
71	31
72	30
73	31
74	30
75	31
76	31
77	28
78	31
79	30
80	31
81	30
82	31
83	31
84	30
85	31
86	30
87	31
88	31
89	28
90	31
91	30
92	31
93	30
94	31
95	31
96	30
97	31
98	30
99	31
100	31
101	28
102	31
103	30
104	31
105	30
106	31
107	31
108	30
109	31
110	30
111	31
112	31
113	28
114	31
115	30
116	31
117	30
118	31
119	31
120	30
121	31
122	30
123	31
124	31
125	28
126	31
127	30
128	31
129	30
130	31
131	31
132	30
133	31
134	30
135	31
136	31
137	28
138	31
139	30
140	31
141	30
142	31
143	31
144	30
145	31
146	30
147	31
148	31
149	28
150	31
151	30
152	31
153	30
154	31
155	31
156	30
157	31
158	30
159	31
160	31
161	28
162	31
163	30
164	31
165	30
166	31
167	31
168	30
169	31
170	30
171	31
172	31
173	28
174	31
175	30
176	31
177	30
178	31
179	31
180	30
181	31
182	30
183	31
184	31
185	28
186	31
187	30
188	31
189	30
190	31
191	31
192	30
193	31
194	30
195	31
196	31
197	28
198	31
199	30
200	31
201	30
202	31
203	31
204	30
205	31
206	30
207	31
208	31
209	28
210	31
211	30
212	31
213	30
214	31
215	31
216	30
217	31
218	30
219	31
220	31
221	28
222	31
223	30
224	31
225	30
226	31
227	31
228	30
229	31
230	30
231	31
232	31
233	28
234	31
235	30
236	31
237	30
238	31
239	31
240	30
241	31
242	30
243	31
244	31
245	28
246	31
247	30
248	31
249	30
250	31
251	31
252	30
253	31
254	30
255	31
256	31
257	28
258	31
259	30
260	31
261	30
262	31
263	31
264	30
265	31
266	30
267	31
268	31
269	28
270	31
271	30
272	31
273	30
274	31
275	31
276	30
277	31
278	30
279	31
280	31
281	28
282	31
283	30
284	31
285	30
286	31
287	31
288	30
289	31
290	30
291	31
292	31
293	28
294	31
295	30
296	31
297	30
298	31
299	31
300	30
301	31
302	30
303	31
304	31
305	28
306	31
307	30
308	31
309	30
310	31
311	31
312	30
313	31
314	30
315	31
316	31
317	28
318	31
319	30
320	31
321	30
322	31
323	31
324	30
325	31
326	30
327	31
328	31
329	28
330	31
331	30
332	31
333	30
334	31
335	31
336	30
337	31
338	30
339	31
340	31
341	28
342	31
343	30
344	31
345	30
346	31
347	31
348	30
349	31
350	30
351	31
352	31
353	28
354	31
355	30
356	31
357	30
358	31
359	31
360	30
361	31
362	30
363	31
364	31
365	28
366	31
367	30
368	31
369	30
370	31
371	31
372	30
373	31
374	30
375	31
376	31
377	28
378	31
379	30
380	31
381	30
382	31
383	31
384	30
385	31
386	30
387	31
388	31
389	28
390	31
391	30
392	31
393	30
394	31
395	31
396	30
397	31
398	30
399	31
400	31
401	28
402	31
403	30
404	31
405	30
406	31
407	31
408	30
409	31
410	30
411	31
412	31
413	28
414	31
415	30
416	31
417	30
418	31
419	31
420	30
421	31
422	30
423	31
424	31
425	28
426	31
427	30
428	31
429	30
430	31
431	31
432	30
433	31
434	30
435	31
436	31
437	28
438	31
439	30
440	31
441	30
442	31
443	31
444	30
445	31
446	30
447	31
448	31
449	28
450	31
451	30
452	31
453	30
454	31
455	31
456	30
457	31
458	30
459	31
460	31
461	28
462	31
463	30
464	31
465	30
466	31
467	31
468	30
469	31
470	30
471	31
472	31
473	28
474	31
475	30
476	31
477	30
478	31
479	31
480	30
481	31
482	30
483	31
484	31
485	28
486	31
487	30
488	31
489	30
490	31
491	31
492	30
493	31
494	30
495	31
496	31
497	28
498	31
499	30
500	31
501	30
502	31
503	31
504	30
505	31
506	30
507	31
508	31
509	28
510	31
511	30
512	31
513	30
514	31
515	31
516	30
517	31
518	30
519	31
520	31
521	28
522	31
523	30
524	31
525	30
526	31
527	31
528	30
529	31
530	30
531	31
532	31
533	28
534	31
535	30
536	31
537	30
538	31
539	31
540	30
541	31
542	30
543	31
544	31
545	28
546	31
547	30
548	31
549	30
550	31
551	31
552	30
553	31
554	30
555	31
556	31
557	28
558	31
559	30
560	31
561	30
562	31
563	31
564	30
565	31
566	30
567	31
568	31
569	28
570	31
571	30
572	31
573	30
574	31
575	31
576	30
577	31
578	30
579	31
580	31
581	28
582	31
583	30
584	31
585	30
586	31
587	31
588	30
589	31
590	30
591	31
592	31
593	28
594	31
595	30
596	31
597	30
598	31
599	31
600	30
