future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	157670.363056346	10193.1324438677	17376.5517220535	1795.88828393401	16990.278066045	0	5954.36925403743	269958.844839278	0	132839.889025871	29257.3693914503
Nov-2021	94082.310299909	7302.25694631311	6701.78813439413	1369.4644023575	10913.1247294097	0	3683.29033676436	50836.7169800251	0	89285.3874111037	22399.8585497908
Dec-2021	106709.329791063	8897.89641789682	29457.3542725263	2161.6803127958	23407.2416276957	0	5942.51617462342	65219.4555610684	0	110994.558870349	28991.810185848
Jan-2021	344167.765531768	31450.3991752992	222145.515652511	28820.0775267676	117582.693767972	0	51803.7984806568	0	0	182284.623283986	62346.0149818051
Feb-2021	204755.943543499	22294.9892651794	130088.785156395	22324.8314135266	98090.2044674068	0	32250.4594379175	0	0	131997.623885678	63503.4871854264
Mar-2021	132627.449414333	15731.2121088332	54157.5728392564	17471.4176383556	76816.4558125775	0	26742.0271515742	0	0	80973.2815674427	51204.833441375
Apr-2021	1098507.95520731	14925.9944021099	38292.4374029163	8276.37913919819	43702.9656424991	0	22159.0397790875	58426.4684888432	0	89360.552836092	39941.7574284728
May-2021	3759120.78286325	41579.7554477924	84541.6636573498	10459.0554721973	43063.0024345373	117816.07302956	80279.7538965871	2261116.55309257	0	607791.800530936	106348.193031558
Jun-2021	6407072.0373573	238981.857250781	284756.009760949	48118.1025493287	36798.9183968397	207562.627958119	20648.8676683442	2372463.15612344	0	862939.190027919	160847.516367977
Jul-2021	3135867.33339586	248162.270164041	172114.071279776	61913.981393863	30000.6938657691	224787.682961553	12085.6071855701	1629710.70147126	0	443404.943220819	84003.5118239648
Aug-2021	673368.411329508	49764.075787696	28826.7024752396	4684.88982814729	24136.3747262323	417252.639830693	6986.90347958756	2767693.54585922	0	201085.739166968	63310.9442209376
Sep-2021	418947.722341086	29662.5730882393	11214.5714030329	2710.39816357346	18258.623529171	355457.899057868	4024.18890577047	520844.56042507	0	129411.394167669	49024.1013599031
Oct-2022	274022.512984153	31627.5677135937	9297.49883926142	2821.10725141556	23232.1033743069	2441.4760603542	5873.27208997047	205083.989069753	0	156294.05440843	53666.1893936127
Nov-2022	212219.203731559	24196.4406982958	16671.5778920174	2439.62873681504	24286.0093928698	23743.5334558204	6762.97871317504	0	0	153331.166028961	45166.4635983619
Dec-2022	602782.610367973	49274.0808513102	208754.984728901	20085.2681146847	112405.496274692	0	78651.7429284918	0	0	401428.201864719	98242.585071932
Jan-2022	358166.003119656	43222.0658204297	86552.2463512522	23755.0770279407	88280.7690005015	29902.9032231663	33023.5937568057	0	0	240205.522805701	88126.8288338932
Feb-2022	1402080.61644056	76046.0514834811	514804.332001315	126957.384846572	619266.097614392	25915.9292693737	296551.893818751	0	0	953960.746974923	386019.828844417
Mar-2022	2166040.90873625	192840.69911405	271863.005066892	137153.692063314	410623.024541256	6350.02981879676	102164.001488478	0	0	1623270.62309036	597865.130280496
Apr-2022	3112837.40557011	169376.003375031	144788.590102407	50366.1380981327	84447.9992978206	0	32771.6095188694	896662.140103672	0	1212521.02874217	335827.658668188
May-2022	6543969.73556688	237431.859496897	161306.458967894	63146.8318182337	51445.4429415443	54206.1442736847	24386.4577669121	1556240.9162445	0	1838417.9197634	501672.6407822
Jun-2022	6601363.53425485	261027.001296212	57606.5736527249	43710.8814874163	40784.1078090493	185293.433832236	16492.3592323455	3321556.36943713	0	917772.614973528	152760.48737151
Jul-2022	2141019.78926508	159876.247113144	27691.7911774327	9014.26120202554	33586.7295325443	211673.07488133	12105.2569221665	1861263.24464618	0	474423.050164025	85750.452076471
Aug-2022	665123.496215078	51345.4352826776	13569.1705558969	3798.73016031623	27139.7720869784	199109.03013524	9231.00946662929	1587955.9687329	0	238485.092465091	65653.2275297494
Sep-2022	285997.034502742	28798.5544251192	6854.5163856043	2449.38801648891	21882.2252141558	220419.004612601	6879.65747174786	950250.819885434	0	142750.033759899	50333.4857755257
Oct-2023	280325.789571569	24253.8583491169	47290.2516354855	3436.72659718625	37958.6280526786	33369.5517346857	36231.9251521408	250271.638010143	0	178880.198933334	48252.3694350296
Nov-2023	264633.071141998	24260.6626472243	54823.4173019789	7605.67589184277	40899.0018158729	7388.41316842561	16599.1589574928	0	0	170196.132458489	50529.9140307749
Dec-2023	360046.545899629	35175.3753490977	89287.6552914561	19311.4636171374	73131.9209755059	9953.48590180138	29804.8840419944	0	0	224840.262710855	69120.808192302
Jan-2023	217630.173247417	23801.1102965693	31132.4353751255	9070.64223535907	37448.6241014188	9748.64037570586	12964.5925485777	0	0	155847.695328164	53087.2475182237
Feb-2023	88113.0309067598	8957.53151957787	26797.65023759	4487.7003118651	23448.1254676729	7319.66374321524	7076.77292076502	0	0	81136.6197777402	28457.6465730165
Mar-2023	1848022.64738526	112814.157872472	672904.865748998	199907.700439954	1206446.64040744	7031.22389737565	399149.099759163	0	0	938617.783025631	787367.538798724
Apr-2023	2381630.10100089	264062.855980563	317849.973275293	197559.079441822	688497.693745862	6730.87048768863	116481.678129747	0	0	1633239.76794552	747549.032408387
May-2023	10686318.1392818	981678.393814097	1112090.87018782	440657.115089369	769409.105377123	6113.03311161643	188338.416653786	1196116.81217294	0	6473749.85192826	2231029.89089673
Jun-2023	10893691.0812264	663136.979595559	570127.800089027	189634.548066192	96394.685070579	230210.899583982	38926.0307709035	2020740.1185705	0	3872440.82929625	1109799.12193859
Jul-2023	10196981.9600263	877297.007553347	432390.479218932	168853.297742862	54411.7327655936	192548.644229531	20604.5837453902	2359840.36067355	0	2363414.97066277	315398.747217598
Aug-2023	2581873.30202996	262110.569305259	54193.3706127142	34754.1421471624	40538.5242958015	248844.116354946	14202.6679968039	2584150.4390706	0	585176.844183424	92778.6602086804
Sep-2023	577332.674636001	53008.6109042522	21365.3648452515	4623.53509342403	31886.2591531146	203595.913077805	10854.5024429685	736823.304472058	0	245381.95236731	69893.8280547106
Oct-2024	1800176.80185577	186093.07857758	172858.616773174	58616.870287873	51566.4780662306	73264.1717214408	65598.0036080451	400286.918114571	0	511305.727096335	84400.1104996224
Nov-2024	591154.874456029	59806.3306170576	67689.8927999591	12923.7418921988	53296.2249538734	1936.81966517662	16899.4011653773	161659.881386742	0	356600.739937525	87017.7608142907
Dec-2024	11406618.3206364	1112038.36457205	2026583.22044055	756066.206133889	1477904.90089962	1589.22390467218	535152.386403039	88374.6684380745	0	6823982.65121256	2359808.46590448
Jan-2024	4208103.10348813	445536.224616621	1003910.76756587	399442.529290713	1514339.96316068	4737.5442687585	465724.660960665	0	0	2676757.83176989	1188741.93907963
Feb-2024	9486054.17746134	891697.953241619	1308220.22239331	648636.197143667	2563407.22186068	5969.51538021786	879293.894393938	0	0	6677219.00109664	2625394.92590932
Mar-2024	3831246.14749972	312176.312309345	602101.750434683	354813.977986693	2177624.07037494	3427.08463393166	731730.835361437	0	0	2509523.83561931	1500166.5433435
Apr-2024	10645043.1751075	1015258.2288892	1250827.21198259	650487.530850272	2573296.91241493	370.018454610398	655508.12363223	0	0	7270627.04584237	3182055.69483907
May-2024	6200866.68063478	562877.631172137	471897.273545983	232686.490399347	554225.400032524	13038.0260358398	126917.000788744	209807.315519261	0	4826969.52640277	1599774.00754759
Jun-2024	11123954.972587	876938.235299162	712594.63372536	304127.991321937	235148.638843501	113544.838356123	84211.763614907	870881.957111844	0	6200967.4271299	1765182.66744507
Jul-2024	13959269.7864031	1072630.75561724	871173.744762737	269828.712023641	63142.9242794425	260073.029255775	26431.1055985224	2765514.04307511	0	5285041.24205937	1111004.66827949
Aug-2024	8026343.90944957	839928.763993418	514080.541413076	181333.251114456	43529.31095387	260408.000478456	16875.692763069	4772499.18477088	0	2697495.08283018	251939.00852501
Sep-2024	3238360.56909571	382706.613332979	172148.93237084	106687.932889066	35110.1278977811	206234.929773421	13462.8668100331	2204852.93237235	0	949062.347331094	82139.4228225843
Oct-2025	146375.028311038	12594.0730103046	12955.0414349394	1713.4297250706	17318.2636825715	133056.638624488	6009.12853154735	199969.514695762	0	118232.109956175	29779.6723211011
Nov-2025	105832.418542046	8985.58554332542	11112.0444497777	1493.01233887711	14175.1281668912	6932.27958818523	5260.23477728951	65471.5294439716	0	97209.1098699922	24161.2153950357
Dec-2025	457946.946596576	35074.9237052124	172125.660397106	17282.8904627201	58048.0507595453	0	55252.4892824725	90391.8770056915	0	300510.338824598	67993.4488398164
Jan-2025	452603.010213661	45837.5435959431	123572.573640327	16815.3831706016	71753.6230047597	0	37416.4674867676	0	0	252441.067365451	72466.5675227978
Feb-2025	3509097.62505	299962.140270264	953305.595191547	195706.245586307	172703.088035904	0	164952.179894543	0	0	1798654.15749926	369088.480063456
Mar-2025	1911330.1331266	70439.1166720589	97245.8247238807	25756.8130257621	80574.8898686661	0	30459.673246164	0	0	413234.340745388	118310.176273285
Apr-2025	2673519.59126362	48998.5496252334	38655.8901215825	7212.40193169942	37409.8626978049	39924.7534673762	17694.4946343312	62686.7318161548	0	300649.636454224	76872.7769343321
May-2025	3906078.25572269	75876.1013598954	45488.6748971392	9589.50002875294	32525.6994086918	116149.987148334	35718.795223058	1366870.45765897	0	475148.821030439	88692.8096311253
Jun-2025	3350268.62955828	133348.448617632	109203.636866118	22792.3613038284	30475.7959347785	162181.551594515	14305.1626025438	1889638.26169756	0	544243.861942621	95835.8719676725
Jul-2025	1346570.33863079	111274.474318906	71391.7789213451	23154.6352800995	26362.0163021606	255647.122481166	10622.1450143596	1312075.93206906	0	380939.381002379	67676.9747251545
Aug-2025	501317.974025684	39334.4720268035	24440.4685949196	3735.29845444147	24120.8347519675	295105.427200178	13590.7142426093	1914259.645456	0	253373.004471416	55822.7411583531
Sep-2025	273432.091622699	20493.5183543493	10805.0154111084	2266.33481048362	16392.6796186937	265359.195477228	4804.26941653984	466538.492513451	0	130927.146960965	38973.1419111141
Oct-2026	146375.028311038	12594.0730103046	12955.0414349394	1713.4297250706	17318.2636825715	133056.638624488	6009.12853154735	199969.514695762	0	118232.109956175	29779.6723211011
Nov-2026	105832.418542046	8985.58554332542	11112.0444497777	1493.01233887711	14175.1281668912	6932.27958818523	5260.23477728951	65471.5294439716	0	97209.1098699922	24161.2153950357
Dec-2026	457946.946596576	35074.9237052124	172125.660397106	17282.8904627201	58048.0507595453	0	55252.4892824725	90391.8770056915	0	300510.338824598	67993.4488398164
Jan-2026	452603.010213661	45837.5435959431	123572.573640327	16815.3831706016	71753.6230047597	0	37416.4674867676	0	0	252441.067365451	72466.5675227978
Feb-2026	3509097.62505	299962.140270264	953305.595191547	195706.245586307	172703.088035904	0	164952.179894543	0	0	1798654.15749926	369088.480063456
Mar-2026	1911330.1331266	70439.1166720589	97245.8247238807	25756.8130257621	80574.8898686661	0	30459.673246164	0	0	413234.340745388	118310.176273285
Apr-2026	2673519.59126362	48998.5496252334	38655.8901215825	7212.40193169942	37409.8626978049	39924.7534673762	17694.4946343312	62686.7318161548	0	300649.636454224	76872.7769343321
May-2026	3906078.25572269	75876.1013598954	45488.6748971392	9589.50002875294	32525.6994086918	116149.987148334	35718.795223058	1366870.45765897	0	475148.821030439	88692.8096311253
Jun-2026	3350268.62955828	133348.448617632	109203.636866118	22792.3613038284	30475.7959347785	162181.551594515	14305.1626025438	1889638.26169756	0	544243.861942621	95835.8719676725
Jul-2026	1346570.33863079	111274.474318906	71391.7789213451	23154.6352800995	26362.0163021606	255647.122481166	10622.1450143596	1312075.93206906	0	380939.381002379	67676.9747251545
Aug-2026	501317.974025684	39334.4720268035	24440.4685949196	3735.29845444147	24120.8347519675	295105.427200178	13590.7142426093	1914259.645456	0	253373.004471416	55822.7411583531
Sep-2026	273432.091622699	20493.5183543493	10805.0154111084	2266.33481048362	16392.6796186937	265359.195477228	4804.26941653984	466538.492513451	0	130927.146960965	38973.1419111141
Oct-2027	220943.821522303	25004.0876768899	5476.47479334744	1951.02721248112	17961.9858786275	4918.19557386452	3040.47452295089	157382.258363664	0	121833.826769513	45232.4639877466
Nov-2027	866943.76294198	71825.5453854028	297209.118574365	23315.7619428358	84428.6002940097	0	95843.6405223694	44523.8623170391	0	413168.757597234	100428.926109899
