future_irr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	113286.862563714	7323.81134842388	12485.1302972142	1290.35378151004	12207.5909440221	0	4278.24099761019	193966.640022495	0	95446.0556780408	21021.551044698
Nov-2021	73976.5467735612	5741.73562298265	5269.58938200081	1076.80441830971	8580.9466138468	0	2896.15655705808	39972.7085729394	0	70204.7453656061	17612.9197768154
Dec-2021	101713.184631333	8481.29571196882	28078.1569871969	2060.47015007801	22311.3114293725	0	5664.28676881047	62165.8718879284	0	105797.778709305	27634.4097372137
Jan-2021	249225.413221753	22774.4708117632	160864.303629115	20869.7514701696	85146.2524294555	0	37513.1676345395	0	0	131999.463958311	45147.2011696451
Feb-2021	236791.938057587	25783.2501743881	150442.399979445	25817.7614077162	113437.34017356	0	37296.347355747	0	0	152649.894493763	73439.205445373
Mar-2021	82861.2691324822	9828.34402747188	33835.8706166195	10915.5672181789	47992.3955938002	0	16707.5391914705	0	0	50589.4436342453	31991.0961373819
Apr-2021	543555.264648443	7385.56584767647	18947.5696083131	4095.25432384215	21624.7656133245	0	10964.5657770446	28910.1361454718	0	44216.7020418042	19763.6734687645
May-2021	2285088.28208322	25275.4347183456	51391.0502295926	6357.83378127383	26177.0685057719	71617.8445630705	48800.3273940797	1374483.88555388	0	369463.499994708	64646.7681551953
Jun-2021	5422909.12668025	202272.877102034	241015.857977871	40726.8867825808	31146.3940568544	175679.821133412	17477.0834917073	2008039.24585825	0	730386.794792876	136140.417874173
Jul-2021	3010547.06904789	238244.834892801	165235.788936298	59439.6814027624	28801.7608478314	215804.378230863	11602.6239065354	1564581.74217376	0	425684.925506468	80646.4366710001
Aug-2021	648451.474609765	47922.6345996986	27760.0157858592	4511.53286422848	23243.246222461	401812.863553871	6728.36412885665	2665279.40854373	0	193644.878333931	60968.2225187039
Sep-2021	403844.551353875	28593.229851883	10810.2832772929	2612.68762661404	17600.3955488129	342643.552202784	3879.11588141062	502067.98274158	0	124746.080789461	47256.770149232
Oct-2022	261627.821250046	30196.9774024529	8876.95079466508	2693.50184283306	22181.2599362128	2331.04227586424	5607.60998712739	195807.551172596	0	149224.501607204	51238.7396675514
Nov-2022	106165.044316923	12104.5416902786	8340.144410201	1220.45172353218	12149.3494374648	11877.9697466308	3383.25619064541	0	0	76705.6409146701	22595.0315769926
Dec-2022	507702.656541036	41501.8305381379	175827.003782254	16917.1170564116	94675.2080880976	0	66245.6051975377	0	0	338108.898617354	82746.2845950884
Jan-2022	282275.116872354	34063.8518861614	68212.9103308625	18721.6739890681	69575.1806987465	23566.8528800095	26026.3082091945	0	0	189308.98363548	69453.8585237152
Feb-2022	2006883.52988179	108849.353200662	736870.849572176	181721.850839274	886393.34810259	37095.050742749	424472.818810512	0	0	1365462.22008117	552533.732819414
Mar-2022	1603463.11376099	142754.897478676	201253.03213932	101531.270832723	303973.424904992	4700.76005704971	75629.3231952735	0	0	1201664.54718338	442583.830961901
Apr-2022	1933905.6998891	105227.859882844	89952.4913112731	31290.8606710671	52464.824180682	0	20359.946308045	557067.3304421	0	753300.292692421	208638.916416476
May-2022	5231529.36295563	189813.186009726	128955.28412034	50482.2788282796	41127.6879653284	43334.710715288	19495.5776113513	1244125.56569698	0	1469709.93407152	401058.571004565
Jun-2022	5709619.29760211	225766.206642381	49824.7979965948	37806.2033942995	35274.7925142585	160263.097167382	14264.4912747735	2872864.40848196	0	793795.434242071	132124.859066094
Jul-2022	2077380.85703663	155124.140801009	26868.6899474203	8746.32441760089	32588.4091922963	205381.377562837	11745.4444492784	1805939.69925943	0	460321.463392907	83201.6352763579
Aug-2022	651632.444381892	50303.9686486796	13293.9398891941	3721.67850632303	26589.281728346	195070.396315662	9043.77201689912	1555746.61752985	0	233647.77313688	64321.5483744345
Sep-2022	288107.555685245	29011.0739683562	6905.09943466557	2467.46332731147	22043.7055592757	222045.591332529	6930.4260499876	957263.215966903	0	143803.460661955	50704.9228014485
Oct-2023	132745.030738119	11485.1336974457	22393.7509158899	1627.42207372086	17974.8686531147	15801.7647163611	17157.208494348	118513.235372708	0	84706.6462994257	22849.3506559972
Nov-2023	128723.549539115	11800.9385472688	26667.3580989737	3699.57387871882	19894.2054506896	3593.89234458514	8074.20875687129	0	0	82787.2729335877	24578.9003765803
Dec-2023	311237.383985572	30406.8791356097	77183.5102199963	16693.5344487542	63217.9034335225	8604.15673721682	25764.4303073239	0	0	194360.134759531	59750.5510488576
Jan-2023	100517.084757695	10993.0446927854	14379.1717785258	4189.46739219734	17296.4367334392	4502.61513049978	5987.97045744588	0	0	71981.5445020253	24519.4647355974
Feb-2023	65508.3134623167	6659.54600124954	19922.9200692823	3336.4154623813	17432.6900054712	5441.8605510994	5261.28149292325	0	0	60321.6467187176	21157.0571676018
Mar-2023	1583732.98377739	96680.3643410419	576671.304509622	171318.47347531	1033910.13107122	6025.67355889993	342065.934975446	0	0	804384.050293408	674764.426353485
Apr-2023	1961770.81129674	217511.024483869	261815.972044051	162731.246717425	567121.938317847	5544.2804706814	95947.0390090249	0	0	1345314.75028724	615763.073860875
May-2023	8101729.23940169	744250.025424295	843120.98914153	334079.950394391	583320.107529074	4634.5372144369	142786.957792102	906824.448291485	0	4908011.13913539	1691433.83768584
Jun-2023	8293363.40064298	504845.962234833	434038.104779371	144368.718435568	73385.2417165154	175259.481364323	29634.37429248	1538388.78086461	0	2948087.91670138	844889.70279439
Jul-2023	8290086.75518064	713237.341322007	351530.933259574	137276.744498925	44236.4208247862	156540.922746823	16751.4061977638	1918536.42529246	0	1921442.56232817	256417.338694834
Aug-2023	2430347.72074268	246727.763206954	51012.857464547	32714.4829637125	38159.3899464823	234239.89493519	13369.1385116995	2432491.21663467	0	550833.849350552	87333.6446038783
Sep-2023	573061.783028786	52616.4729890306	21207.3118518708	4589.33190678017	31650.3765111208	202089.786515723	10774.2048859085	731372.56072357	0	243566.708285398	69376.779606304
Oct-2024	1568964.08398466	162191.489338918	150656.847174563	51088.1842841506	44943.3366434309	63854.2025179563	57172.6685601213	348874.508972253	0	445634.184888295	73559.8536331177
Nov-2024	244241.914221739	24709.6206149525	27966.7980512543	5339.58120799208	22019.9013253585	800.217612956912	6982.16705669719	66791.4967614703	0	147333.382669601	35952.3119759925
Dec-2024	10517783.2710249	1025385.27886688	1868666.28602159	697151.449371776	1362742.48913245	1465.38721018075	493451.841636175	81488.2713835294	0	6292239.16792576	2175925.70451928
Jan-2024	3739104.61312892	395880.64070939	892023.624388822	354924.146871014	1345564.83119581	4209.53888119662	413819.049918827	0	0	2378429.73683404	1056255.12467794
