future_nonIrr_inflows[, 1]	Cold.Stream	Hamlin.Creek	Turner.Creek	Fletcher.Creek	Carman.Creek	Big.Grizzly.Creek	Mapes.Creek	Little.Last.Chance.Creek	Correco.Canyon	Bear.Valley.Creek.Smithneck.Creek	Lemon.Creek
Oct-2021	0	0	0	0	0	0	0	99470.071806408	0	0	0
Nov-2021	0	0	0	0	0	0	0	109016.477926199	0	0	0
Dec-2021	0	0	0	0	0	0	0	202857.055634293	0	0	0
Jan-2021	0	0	0	0	0	18300.2033233446	0	162087.515149624	0	0	0
Feb-2021	0	0	0	0	0	1571515.44321598	0	239862.883438229	0	0	0
Mar-2021	0	0	0	0	0	880358.887099739	0	88035.8887099745	0	0	0
Apr-2021	0	0	0	0	0	271032.526363798	0	51496.1800091217	0	0	0
May-2021	0	0	0	0	0	265595.758336351	0	3100.33959147492	0	0	0
Jun-2021	0	0	0	0	0	462812.432018128	0	5667.09100430361	0	0	0
Jul-2021	0	0	0	0	0	584079.241081358	0	0	0	0	0
Aug-2021	0	0	0	0	0	408945.636279679	0	0	0	0	0
Sep-2021	0	0	0	0	0	478273.291616387	0	126111.862963525	0	0	0
Oct-2022	0	0	0	0	0	680664.344552358	0	93241.6910345695	0	0	0
Nov-2022	0	0	0	0	0	384054.355141061	0	79186.4649775385	0	0	0
Dec-2022	0	0	0	0	0	990620.762620948	0	198124.15252419	0	0	0
Jan-2022	0	0	0	0	0	3406719.51076582	0	162349.430951177	0	0	0
Feb-2022	0	0	0	0	0	8317534.71098527	0	239056.993675494	0	0	0
Mar-2022	0	0	0	0	0	1942980.82358055	0	97149.0411790277	0	0	0
Apr-2022	0	0	0	0	0	328976.769946122	0	27414.7308288435	0	0	0
May-2022	0	0	0	0	0	388614.50254355	0	18172.6206225402	0	0	0
Jun-2022	0	0	0	0	0	435282.486133631	0	0	0	0	0
Jul-2022	0	0	0	0	0	528798.029587075	0	0	0	0	0
Aug-2022	0	0	0	0	0	604477.400928782	0	0	0	0	0
Sep-2022	0	0	0	0	0	518106.379775901	0	4934.34647405621	0	0	0
Oct-2023	0	0	0	0	0	335223.151482804	0	40633.1092706429	0	0	0
Nov-2023	0	0	0	0	0	355795.342113929	0	71877.8468917031	0	0	0
Dec-2023	0	0	0	0	0	880492.039441855	0	177819.239235815	0	0	0
Jan-2023	0	0	0	0	0	460767.615021145	0	93054.0460303291	0	0	0
Feb-2023	0	0	0	0	0	502465.124218178	0	101581.396953856	0	0	0
Mar-2023	0	0	0	0	0	616627.26086076	0	124530.586883932	0	0	0
Apr-2023	0	0	0	0	0	548883.766597458	0	110885.609413628	0	0	0
May-2023	0	0	0	0	0	474267.64161071	0	58704.1380495342	0	0	0
Jun-2023	0	0	0	0	0	321309.049167926	0	11359.4108291691	0	0	0
Jul-2023	0	0	0	0	0	407734.496456842	0	0	0	0	0
Aug-2023	0	0	0	0	0	545058.217060731	0	6756.92004620742	0	0	0
Sep-2023	0	0	0	0	0	522065.281832285	0	72174.9237556154	0	0	0
Oct-2024	0	0	0	0	0	814930.594258116	0	127348.952347834	0	0	0
Nov-2024	0	0	0	0	0	424115.334867163	0	56015.232906984	0	0	0
Dec-2024	0	0	0	0	0	1362810.10546809	0	158006.968749925	0	0	0
Jan-2024	0	0	0	0	0	4231061.3356268	0	156987.314667183	0	0	0
Feb-2024	0	0	0	0	0	1322705.71385864	0	163333.009870085	0	0	0
Mar-2024	0	0	0	0	0	6669748.18099611	0	3351332.20892931	0	0	0
Apr-2024	0	0	0	0	0	9955924.18523488	0	12501741.4354373	0	0	0
May-2024	0	0	0	0	0	5608230.16201341	0	3767782.47609413	0	0	0
Jun-2024	0	0	0	0	0	2895330.04493558	0	1289717.84682214	0	0	0
Jul-2024	0	0	0	0	0	1088279.53287753	0	66182.7670803405	0	0	0
Aug-2024	0	0	0	0	0	1273957.72354524	0	73304.2959255733	0	0	0
Sep-2024	0	0	0	0	0	1355206.01693036	0	91928.6357217529	0	0	0
Oct-2025	0	0	0	0	0	280726.647098084	0	98364.8487863367	0	0	0
Nov-2025	0	0	0	0	0	290710.607803196	0	109016.477926199	0	0	0
